"NAPS","Time","O3","NO2"
60435,2019-01-06 00:00:00,2,25
60435,2019-01-06 01:00:00,20,9
60435,2019-01-06 02:00:00,19,9
60435,2019-01-06 03:00:00,21,8
60435,2019-01-06 04:00:00,25,6
60435,2019-01-06 05:00:00,27,8
60435,2019-01-06 06:00:00,27,6
60435,2019-01-06 07:00:00,24,10
60435,2019-01-06 08:00:00,-999,9
60435,2019-01-06 09:00:00,22,8
60435,2019-01-06 10:00:00,25,7
60435,2019-01-06 11:00:00,30,5
60435,2019-01-06 12:00:00,30,5
60435,2019-01-06 13:00:00,30,5
60435,2019-01-06 14:00:00,30,5
60435,2019-01-06 15:00:00,29,5
60435,2019-01-06 16:00:00,30,6
60435,2019-01-06 17:00:00,29,6
60435,2019-01-06 18:00:00,27,8
60435,2019-01-06 19:00:00,27,7
60435,2019-01-06 20:00:00,26,8
60435,2019-01-06 21:00:00,25,9
60435,2019-01-06 22:00:00,-999,11
60435,2019-01-06 23:00:00,20,12
60435,2019-01-07 00:00:00,17,15
60435,2019-01-07 01:00:00,15,20
60435,2019-01-07 02:00:00,20,11
60435,2019-01-07 03:00:00,16,17
60435,2019-01-07 04:00:00,21,14
60435,2019-01-07 05:00:00,24,14
60435,2019-01-07 06:00:00,26,14
60435,2019-01-07 07:00:00,29,8
60435,2019-01-07 08:00:00,31,6
60435,2019-01-07 09:00:00,32,6
60435,2019-01-07 10:00:00,32,7
60435,2019-01-07 11:00:00,29,11
60435,2019-01-07 12:00:00,28,13
60435,2019-01-07 13:00:00,25,16
60435,2019-01-07 14:00:00,24,18
60435,2019-01-07 15:00:00,24,16
60435,2019-01-07 16:00:00,23,16
60435,2019-01-07 17:00:00,26,11
60435,2019-01-07 18:00:00,28,8
60435,2019-01-07 19:00:00,29,9
60435,2019-01-07 20:00:00,26,12
60435,2019-01-07 21:00:00,27,9
60435,2019-01-07 22:00:00,22,12
60435,2019-01-07 23:00:00,20,11
60435,2019-01-08 00:00:00,7,24
