"Date","temperature","NO2","O3"
43101,-19.5,31,11
43101.0416666667,-21.7,29,13
43101.0833333333,-19.3,39,4
43101.125,-20.3,44,1
43101.1666666667,-19.9,46,1
43101.2083333333,-18.7,46,1
43101.25,-17.5,46,1
43101.2916666667,-17.4,48,1
43101.3333333333,-18.5,36,9
43101.375,-14.9,28,18
43101.4166666667,-12.8,12,28
43101.4583333333,-11.4,8,32
43101.5,-10,7,33
43101.5416666667,-9.7,7,34
43101.5833333333,-8.7,7,33
43101.625,-10.3,5,33
43101.6666666667,-10.6,8,31
43101.7083333333,-11.4,7,32
43101.75,-12.3,8,32
43101.7916666667,-13.2,7,34
43101.8333333333,-13.9,9,32
43101.875,-14.4,16,23
43101.9166666667,-13.9,21,18
43101.9583333333,-12.3,23,16
43102,-11.7,30,10
43102.0416666667,-11.3,37,3
43102.0833333333,-11.6,40,1
43102.125,-11.2,35,7
43102.1666666667,-11.3,22,16
43102.2083333333,-10.1,18,20
43102.25,-9.7,12,27
43102.2916666667,-10.5,15,24
43102.3333333333,-10.9,14,26
43102.375,-11.8,13,27
43102.4166666667,-11.3,15,24
43102.4583333333,-10.4,15,24
43102.5,-9.7,14,24
43102.5416666667,-8.7,14,26
43102.5833333333,-8.2,12,28
43102.625,-8.2,14,27
43102.6666666667,-8.4,14,26
43102.7083333333,-9.1,16,23
43102.75,-10.7,18,21
43102.7916666667,-10.9,22,17
43102.8333333333,-11.2,21,18
43102.875,-12,21,18
43102.9166666667,-12.1,22,17
43102.9583333333,-12.3,22,17
43103,-12.9,19,20
43103.0416666667,-13.1,17,24
43103.0833333333,-13.4,15,26
43103.125,-13.1,17,25
43103.1666666667,-12,11,31
43103.2083333333,-11.3,10,31
43103.25,-11.2,12,30
43103.2916666667,-11,14,29
43103.3333333333,-11.6,15,27
43103.375,-10.7,17,24
43103.4166666667,-9.1,13,27
43103.4583333333,-8.6,13,27
43103.5,-7.2,12,27
43103.5416666667,-6.9,15,24
43103.5833333333,-6.5,15,24
43103.625,-6.8,13,27
43103.6666666667,-7,14,26
43103.7083333333,-7,17,22
43103.75,-7.5,15,23
43103.7916666667,-7.9,14,22
43103.8333333333,-8.8,20,17
43103.875,-9.2,23,13
43103.9166666667,-9.4,26,10
43103.9583333333,-9.5,28,8
43104,-9.2,25,9
43104.0416666667,-9.2,25,9
43104.0833333333,-9.2,27,7
43104.125,-9.2,32,3
43104.1666666667,-9.6,33,3
43104.2083333333,-9.8,29,8
43104.25,-10.1,18,17
43104.2916666667,-11.3,18,17
43104.3333333333,-12.4,19,17
43104.375,-12.9,12,24
43104.4166666667,-11.5,10,26
43104.4583333333,-10.9,9,27
43104.5,-11.3,9,27
43104.5416666667,-11.6,9,-999
43104.5833333333,-11.7,8,28
43104.625,-11.9,8,27
43104.6666666667,-12.6,9,27
43104.7083333333,-13.9,11,25
43104.75,-14.9,10,25
43104.7916666667,-15.2,9,26
43104.8333333333,-17.4,9,28
43104.875,-18.1,6,30
43104.9166666667,-18.9,6,31
43104.9583333333,-19.5,6,30
43105,-20.1,6,30
43105.0416666667,-20.5,6,30
43105.0833333333,-21.2,6,29
43105.125,-21.6,6,28
43105.1666666667,-21.9,7,28
43105.2083333333,-21.6,10,27
43105.25,-23,17,21
43105.2916666667,-22,14,23
43105.3333333333,-21.9,17,19
43105.375,-21.2,12,25
43105.4166666667,-20.4,9,26
43105.4583333333,-19,7,27
43105.5,-18.3,7,28
43105.5416666667,-17.5,7,27
43105.5833333333,-16.5,7,28
43105.625,-15.2,8,28
43105.6666666667,-15.9,12,24
43105.7083333333,-16.9,17,19
43105.75,-17.7,15,21
43105.7916666667,-17.4,14,22
43105.8333333333,-17.2,14,23
43105.875,-18.4,17,20
43105.9166666667,-19.3,13,23
43105.9583333333,-19.1,7,29
43106,-20.2,8,28
43106.0416666667,-21,10,25
43106.0833333333,-21.8,10,25
43106.125,-22.3,10,25
43106.1666666667,-22.2,10,24
43106.2083333333,-22.4,11,24
43106.25,-22.9,12,24
43106.2916666667,-21.5,13,22
43106.3333333333,-21.5,13,22
43106.375,-20.4,8,26
43106.4166666667,-21.4,8,-999
43106.4583333333,-20,7,28
43106.5,-17.5,7,28
43106.5416666667,-17.9,7,28
43106.5833333333,-17.2,6,30
43106.625,-16.8,8,29
43106.6666666667,-16.4,11,27
43106.7083333333,-16.4,19,20
43106.75,-17.1,23,16
43106.7916666667,-18,30,10
43106.8333333333,-17.9,34,7
43106.875,-18.3,39,3
43106.9166666667,-19.4,42,2
43106.9583333333,-19.8,45,1
43107,-20.5,43,2
43107.0416666667,-20.6,47,1
43107.0833333333,-18.6,47,1
43107.125,-19.1,-999,-999
43107.1666666667,-18.1,46,1
43107.2083333333,-18,48,1
43107.25,-17.5,40,5
43107.2916666667,-16.5,21,21
43107.3333333333,-15.5,21,22
43107.375,-14.5,15,23
43107.4166666667,-12.2,11,27
43107.4583333333,-11.3,13,26
43107.5,-10.8,11,29
43107.5416666667,-10.4,9,31
43107.5833333333,-10,9,32
43107.625,-9.5,11,30
43107.6666666667,-9,15,26
43107.7083333333,-8.1,13,28
43107.75,-7.6,14,27
43107.7916666667,-7.1,14,27
43107.8333333333,-6,13,28
43107.875,-4.8,15,26
43107.9166666667,-4,11,29
43107.9583333333,-3.4,12,27
